Calendar,Mandi Modal Price (AgMarknet),WPI_Paddy,MSP_Fixed,USD_INR_Price,Area,Production,Yield
2012-06-10,1016.21,107.0,1080,55.425,5922643.0,13962896.0,2.36
2012-06-11,1037.32,107.0,1080,55.7,5922643.0,13962896.0,2.36
2012-06-12,1015.96,107.0,1080,55.805,5922643.0,13962896.0,2.36
2012-06-13,1038.19,107.0,1080,55.57,5922643.0,13962896.0,2.36
2012-06-14,1034.46,107.0,1080,55.71,5922643.0,13962896.0,2.36
2012-06-15,1047.15,107.0,1080,55.395,5922643.0,13962896.0,2.36
2012-06-16,1042.89,107.0,1080,55.395,5922643.0,13962896.0,2.36
2012-06-17,973.14,107.0,1080,55.395,5922643.0,13962896.0,2.36
2012-06-18,1035.65,107.0,1080,55.83,5922643.0,13962896.0,2.36
2012-06-19,1032.6,107.0,1080,55.885,5922643.0,13962896.0,2.36
2012-06-20,1033.92,107.0,1080,56.15,5922643.0,13962896.0,2.36
2012-06-21,1034.1,107.0,1080,56.26,5922643.0,13962896.0,2.36
2012-06-22,1065.03,107.0,1080,57.125,5922643.0,13962896.0,2.36
2012-06-23,1036.87,107.0,1080,57.125,5922643.0,13962896.0,2.36
2012-06-24,974.23,107.0,1080,57.125,5922643.0,13962896.0,2.36
2012-06-25,1021.64,107.0,1080,56.965,5922643.0,13962896.0,2.36
2012-06-26,1027.52,107.0,1080,56.965,5922643.0,13962896.0,2.36
2012-06-27,998.19,107.0,1080,56.89,5922643.0,13962896.0,2.36
2012-06-28,1048.52,107.0,1080,56.825,5922643.0,13962896.0,2.36
2012-06-29,975.5,107.0,1080,55.51,5922643.0,13962896.0,2.36
2012-06-30,997.47,107.0,1080,55.51,5922643.0,13962896.0,2.36
2012-07-01,1064.08,111.0,1080,55.51,5922643.0,13962896.0,2.36
2012-07-02,1011.48,111.0,1080,55.39,5922643.0,13962896.0,2.36
2012-07-03,1014.42,111.0,1080,54.22,5922643.0,13962896.0,2.36
2012-07-04,1020.95,111.0,1080,54.545,5922643.0,13962896.0,2.36
2012-07-05,1008.28,111.0,1080,54.965,5922643.0,13962896.0,2.36
2012-07-06,999.09,111.0,1080,55.41,5922643.0,13962896.0,2.36
2012-07-07,954.55,111.0,1080,55.41,5922643.0,13962896.0,2.36
2012-07-08,964.7,111.0,1080,55.41,5922643.0,13962896.0,2.36
2012-07-09,993.25,111.0,1080,55.85,5922643.0,13962896.0,2.36
2012-07-10,1007.88,111.0,1080,55.395,5922643.0,13962896.0,2.36
2012-07-11,998.42,111.0,1080,55.53,5922643.0,13962896.0,2.36
2012-07-12,993.61,111.0,1080,55.84,5922643.0,13962896.0,2.36
2012-07-13,1010.88,111.0,1080,55.145,5922643.0,13962896.0,2.36
2012-07-14,1003.44,111.0,1080,55.145,5922643.0,13962896.0,2.36
2012-07-15,972.47,111.0,1080,55.145,5922643.0,13962896.0,2.36
2012-07-16,1007.14,111.0,1080,55.055,5922643.0,13962896.0,2.36
2012-07-17,1006.29,111.0,1080,55.04,5922643.0,13962896.0,2.36
2012-07-18,1004.11,111.0,1080,55.32,5922643.0,13962896.0,2.36
2012-07-19,1013.42,111.0,1080,55.175,5922643.0,13962896.0,2.36
2012-07-20,1030.4,111.0,1080,55.325,5922643.0,13962896.0,2.36
2012-07-21,1039.21,111.0,1080,55.325,5922643.0,13962896.0,2.36
2012-07-22,954.44,111.0,1080,55.325,5922643.0,13962896.0,2.36
2012-07-23,1047.44,111.0,1080,55.93,5922643.0,13962896.0,2.36
2012-07-24,1047.39,111.0,1080,56.18,5922643.0,13962896.0,2.36
2012-07-25,1039.79,111.0,1080,56.025,5922643.0,13962896.0,2.36
