"State","Crop","Calendar","Mandi Arrival Quantity (AgMarknet) (AgMarknet)","Mandi Modal Price (AgMarknet)"
"Uttar Pradesh","Paddy","29 Mar 2011","7327.30","1012.71"
"Uttar Pradesh","Paddy","30 Mar 2011","5780.55","1006.29"
"Uttar Pradesh","Paddy","31 Mar 2011","5883.10","1063.48"
"Uttar Pradesh","Paddy","01 Apr 2011","1908.80","1090.79"
"Uttar Pradesh","Paddy","02 Apr 2011","4408.30","1080.44"
"Uttar Pradesh","Paddy","03 Apr 2011","689.00","1178.54"
"Uttar Pradesh","Paddy","04 Apr 2011","6965.10","1011.97"
"Uttar Pradesh","Paddy","05 Apr 2011","4722.00","1020.59"
"Uttar Pradesh","Paddy","06 Apr 2011","8693.90","1022.31"
"Uttar Pradesh","Paddy","07 Apr 2011","990.10","1033.43"
"Uttar Pradesh","Paddy","08 Apr 2011","4995.00","1020.36"
"Uttar Pradesh","Paddy","09 Apr 2011","2255.20","993.45"
"Uttar Pradesh","Paddy","10 Apr 2011","550.30","1201.88"
"Uttar Pradesh","Paddy","11 Apr 2011","2535.90","1033.47"
"Uttar Pradesh","Paddy","12 Apr 2011","6107.10","1019.04"
"Uttar Pradesh","Paddy","13 Apr 2011","4103.40","1014.80"
"Uttar Pradesh","Paddy","14 Apr 2011","4377.50","998.77"
"Uttar Pradesh","Paddy","15 Apr 2011","8572.70","1001.83"
"Uttar Pradesh","Paddy","16 Apr 2011","7965.90","1019.95"
"Uttar Pradesh","Paddy","17 Apr 2011","451.30","1190.18"
"Uttar Pradesh","Paddy","18 Apr 2011","4199.90","1016.28"
"Uttar Pradesh","Paddy","19 Apr 2011","6239.40","1027.47"
"Uttar Pradesh","Paddy","20 Apr 2011","6478.60","1020.42"
"Uttar Pradesh","Paddy","21 Apr 2011","738.20","1089.58"
"Uttar Pradesh","Paddy","22 Apr 2011","7057.00","1009.65"
"Uttar Pradesh","Paddy","23 Apr 2011","1784.70","1023.10"
"Uttar Pradesh","Paddy","24 Apr 2011","4483.70","1027.13"
