State,Crop,Calendar,Mandi Arrival Quantity (AgMarknet) (AgMarknet),Mandi Modal Price (AgMarknet),USD_INR_Price,Crop_Year,Area,Production,Yield,MSP_Fixed,WPI_Paddy,Crude_Price_USD,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant
Uttar Pradesh,Paddy,2012-04-01,961.5,1073.31,50.875,2011 - 2012,5922643.0,13962896.0,2.36,1080,104.2,125.430000305176,36.138586546666666,20.555253306666668,28.586003013333332,37.37387444,19.62138052,28.4023604,0.0,0.0,0.0,11.303574826666667,25.7231994,78.92307206666668
Uttar Pradesh,Paddy,2012-04-02,2692.5,1071.88,50.8,2011 - 2012,5922643.0,13962896.0,2.36,1080,104.2,125.430000305176,37.01592010666666,20.999253293333336,29.653947253333335,38.87566777333333,20.953962426666667,29.853014466666664,0.04533333333333334,0.04533333333333334,0.0,10.401252284,23.860799386666667,78.88033936
Uttar Pradesh,Paddy,2012-04-03,9367.0,1075.31,50.56,2011 - 2012,5922643.0,13962896.0,2.36,1080,104.2,124.860000610352,37.923919893333334,21.879920026666664,29.74922564,39.83073337333333,21.982694813333335,30.041166080000004,0.8373333466666667,0.8373333466666667,0.0,12.998287813333333,29.40959916,109.9811105329939
Uttar Pradesh,Paddy,2012-04-04,6871.0,1077.61,51.05,2011 - 2012,5922643.0,13962896.0,2.36,1080,104.2,122.339996337891,37.53125313333333,21.52058668,29.62472590666667,38.86691338666667,21.40141484,29.605345693333334,0.4013333338666667,0.4013333338666667,0.0,13.093603613333332,27.2591994,127.94282282533332
Uttar Pradesh,Paddy,2012-04-05,9412.0,1078.6,51.04,2011 - 2012,5922643.0,13962896.0,2.36,1080,104.2,123.430000305176,36.091253306666665,20.821253333333335,28.56408652,37.017314866666666,20.704980266666666,28.32693484,0.10400000053333333,0.10400000053333333,0.0,13.463862326666668,31.22879938666666,228.54083794666667
Uttar Pradesh,Paddy,2012-04-06,842.2,1061.67,51.115,2011 - 2012,5922643.0,13962896.0,2.36,1080,104.2,123.430000305176,36.20525321333333,20.648586599999998,28.503058626666668,37.0965938,20.443308493333333,28.18381478666667,0.17600000000000002,0.17600000000000002,0.0,14.047495206666666,28.74239941333333,126.108986888
Uttar Pradesh,Paddy,2012-04-07,1551.0,1058.97,51.115,2011 - 2012,5922643.0,13962896.0,2.36,1080,104.2,123.430000305176,36.392586466666664,20.689920026666666,28.837169706666664,38.223362359999996,20.582867213333333,29.119371413333333,0.05200000133333334,0.05200000133333334,0.0,13.545136300000001,28.075199279999996,90.200598216
Uttar Pradesh,Paddy,2012-04-08,318.0,1059.93,51.115,2011 - 2012,5922643.0,13962896.0,2.36,1080,104.2,123.430000305176,36.74525322666666,21.38925328,29.04830857333333,38.406342853333335,21.329914413333334,28.976015413333336,0.10933333333333335,0.10933333333333335,0.0,17.469179413333336,33.95999953333333,219.59350933066665
Uttar Pradesh,Paddy,2012-04-09,4591.0,1076.77,51.195,2011 - 2012,5922643.0,13962896.0,2.36,1080,104.2,122.669998168945,36.94791992,21.33925332,29.212170119999996,37.673939053333335,21.10234721333333,28.9805264,0.20000000053333333,0.20000000053333333,0.0,18.14469278,33.455999293333335,232.04576093333333
Uttar Pradesh,Paddy,2012-04-10,4264.2,1074.12,51.485,2011 - 2012,5922643.0,13962896.0,2.36,1080,104.2,119.879997253418,36.33992005333334,21.588586706666668,28.856892000000002,38.29962576,21.441995533333333,29.442532906666667,0.3960000112,0.3960000112,0.0,18.850777946666668,36.220799293333336,85.71598096000001
Uttar Pradesh,Paddy,2012-04-11,2752.7,1074.69,51.465,2011 - 2012,5922643.0,13962896.0,2.36,1080,104.2,120.180000305176,33.96991996,21.777919933333333,27.713586653333333,36.76997,22.895087653333334,28.953378786666665,1.1773333524,1.1773333524,0.0,19.156478426666666,37.209599440000005,84.88402597333334
Uttar Pradesh,Paddy,2012-04-12,4389.0,1071.3,51.235,2011 - 2012,5922643.0,13962896.0,2.36,1080,104.2,121.709999084473,34.85592004,21.21925336,28.114475506666665,36.83078673333333,21.67719456,28.77379901333333,0.4066666646666667,0.4066666646666667,0.0,15.882499553333334,31.08959944,244.74849735733335
Uttar Pradesh,Paddy,2012-04-13,2031.0,1071.29,51.55,2011 - 2012,5922643.0,13962896.0,2.36,1080,104.2,121.830001831055,35.47125333333334,20.87458665333333,27.607919733333336,35.73383634666666,20.886155533333334,27.31037693333333,0.5786666617333334,0.5786666617333334,0.0,18.88039210666667,39.60959934666667,194.87105486666667
Uttar Pradesh,Paddy,2012-04-14,5476.3,1076.45,51.55,2011 - 2012,5922643.0,13962896.0,2.36,1080,104.2,121.830001831055,33.93658652,20.495919999999998,26.9682532,35.38637148,20.735617613333332,27.255279853333334,2.1973332845333333,2.1973332845333333,0.0,13.443820386666665,29.50559948,214.10274286453333
Uttar Pradesh,Paddy,2012-04-15,272.3,1071.8,51.55,2011 - 2012,5922643.0,13962896.0,2.36,1080,104.2,121.830001831055,32.72925336,20.174586653333332,26.70064224,34.37161742666667,20.597961973333334,27.175749613333334,0.2173333365333333,0.2173333365333333,0.0,12.434319953333334,29.222399639999995,315.71467674666667
Uttar Pradesh,Paddy,2012-04-16,6304.3,1077.45,51.615,2011 - 2012,5922643.0,13962896.0,2.36,1080,104.2,118.680000305176,34.68658661333333,19.835920013333336,27.902308906666665,34.17454674666667,20.236227453333335,27.412429080000003,0.03733333333333333,0.03733333333333333,0.0,18.619520746666666,36.82079916,291.5368334533333
Uttar Pradesh,Paddy,2012-04-17,35931.5,1079.67,51.395,2011 - 2012,5922643.0,13962896.0,2.36,1080,104.2,118.779998779297,36.03592006666666,21.532586626666667,29.128030826666667,36.566654066666665,21.013960973333333,28.94512750666667,0.024,0.024,0.0,16.899500500000002,35.0159994,305.444429168
Uttar Pradesh,Paddy,2012-04-18,7673.0,1078.61,51.73,2011 - 2012,5922643.0,13962896.0,2.36,1080,104.2,117.970001220703,36.440586466666666,22.231253346666666,29.796392199999996,36.69509417333333,22.576528506666666,29.638684066666666,0.02,0.02,0.0,18.648159,38.419199146666664,307.3179396
Uttar Pradesh,Paddy,2012-04-19,2962.0,1075.84,52.085,2011 - 2012,5922643.0,13962896.0,2.36,1080,104.2,118.0,37.60258657333333,23.32725344,31.02375328,37.09526688,23.493037573333336,30.363273133333333,0.0,0.0,0.0,21.585110493333335,40.56479894666666,295.8993930666667
Uttar Pradesh,Paddy,2012-04-20,2412.0,1075.22,52.075,2011 - 2012,5922643.0,13962896.0,2.36,1080,104.2,118.76000213623,38.89192,24.879920053333333,32.1114748,37.32228646666667,24.02195705333333,30.24742648,0.010666666666666668,0.010666666666666668,0.0,24.95661472,44.84159928,296.6322942666667
Uttar Pradesh,Paddy,2012-04-21,2978.2,1073.84,52.075,2011 - 2012,5922643.0,13962896.0,2.36,1080,104.2,118.76000213623,36.34191997333333,24.275920040000003,30.439114666666665,36.19484998666667,22.65265036,29.218640733333334,0.0,0.0,0.0,21.156195853333333,41.855999159999996,291.1742169333333
Uttar Pradesh,Paddy,2012-04-22,3078.5,1082.21,52.075,2011 - 2012,5922643.0,13962896.0,2.36,1080,104.2,118.76000213623,36.717253293333336,22.983920066666666,30.03722528,34.99698738666667,21.667993333333335,28.218675160000004,0.005333333333333334,0.005333333333333334,0.0,22.449596600000003,45.15839901333334,298.65166853333335
Uttar Pradesh,Paddy,2012-04-23,2689.5,1074.26,52.385,2011 - 2012,5922643.0,13962896.0,2.36,1080,104.2,118.709999084473,36.973253426666666,22.31991996,30.175697586666665,36.29367513333333,21.243067493333335,28.749871133333333,0.002666666666666667,0.002666666666666667,0.0,17.950239726666666,35.601599119999996,291.04802743199997
Uttar Pradesh,Paddy,2012-04-24,1851.1,1071.02,52.59,2011 - 2012,5922643.0,13962896.0,2.36,1080,104.2,118.160003662109,38.06858669333333,22.922586786666667,31.031864466666665,38.035498520000004,21.74855837333333,29.836510906666668,0.052000000666666664,0.052000000666666664,0.0,15.890179520000002,32.049599253333334,276.892973224
Uttar Pradesh,Paddy,2012-04-25,3065.0,1077.8,52.46,2011 - 2012,5922643.0,13962896.0,2.36,1080,104.2,119.120002746582,37.72191985333333,23.404586653333332,30.809892520000002,38.02746734666667,22.59615132,29.966415519999998,0.018666666666666668,0.018666666666666668,0.0,13.548921412,29.783999466666664,314.97122928000005
Uttar Pradesh,Paddy,2012-04-26,3557.5,1076.49,52.41,2011 - 2012,5922643.0,13962896.0,2.36,1080,104.2,119.919998168945,38.170586879999995,22.968586693333332,31.317309413333334,38.61912877333334,22.424637266666664,30.53953918666667,0.25733333333333336,0.25733333333333336,0.0,15.985530033333335,31.929599319999998,287.78779071733334
Uttar Pradesh,Paddy,2012-04-27,3910.3,1079.28,52.545,2011 - 2012,5922643.0,13962896.0,2.36,1080,104.2,119.830001831055,37.29458645333334,24.009919999999997,30.69603128,37.429249426666665,22.7804158,29.45718885333333,0.07866666666666668,0.07866666666666668,0.0,18.206813026666666,37.79039949333333,299.0999144
Uttar Pradesh,Paddy,2012-04-28,3545.5,1074.32,52.545,2011 - 2012,5922643.0,13962896.0,2.36,1080,104.2,119.830001831055,36.632586653333334,23.297919986666667,30.19091996,35.16302561333333,22.27629816,28.78650284,0.076,0.076,0.0,21.321302973333335,43.147199040000004,300.83876173333334
Uttar Pradesh,Paddy,2012-04-29,1395.0,1079.44,52.545,2011 - 2012,5922643.0,13962896.0,2.36,1080,104.2,119.830001831055,37.89858676,22.315253306666666,30.538864986666667,36.772535186666666,21.034117146666667,28.974653493333335,0.022666666666666665,0.022666666666666665,0.0,17.563091313333334,35.548799253333335,301.21654088533336
Uttar Pradesh,Paddy,2012-04-30,3086.8,1072.96,52.665,2011 - 2012,5922643.0,13962896.0,2.36,1080,104.2,119.470001220703,38.359253386666666,21.865253226666667,30.742475266666666,37.57145250666667,20.346699599999997,28.759651226666666,0.016,0.016,0.0,16.562910906666666,33.41759942666667,287.00857133333335
Uttar Pradesh,Paddy,2012-05-01,2645.8,1071.45,52.505,2011 - 2012,5922643.0,13962896.0,2.36,1080,104.2,119.660003662109,38.16458665333334,21.86858657333333,30.65447529333333,37.74410524,20.18461892,28.725662466666666,0.0,0.0,0.0,14.553381166666664,29.803199600000003,278.68843747146667
Uttar Pradesh,Paddy,2012-05-02,1915.5,1074.94,52.985,2011 - 2012,5922643.0,13962896.0,2.36,1080,104.2,118.199996948242,38.35458669333333,22.001920106666667,30.736364639999998,37.56729910666667,20.145444,28.820200173333337,0.0,0.0,0.0,15.033200366666666,30.839999453333338,290.8693719413333
Uttar Pradesh,Paddy,2012-05-03,2067.8,1075.27,53.335,2011 - 2012,5922643.0,13962896.0,2.36,1080,104.2,116.080001831055,38.12725306666667,21.66725338666667,30.553614480000004,37.409706093333334,19.878849506666665,28.76113085333333,0.006666666666666667,0.006666666666666667,0.0,15.761787246666666,31.58879921333333,268.50077833333336
Uttar Pradesh,Paddy,2012-05-04,6533.9,1078.59,53.475,2011 - 2012,5922643.0,13962896.0,2.36,1080,104.2,113.180000305176,38.189253253333334,21.761253333333332,30.699392693333333,38.265786266666666,20.310156706666668,29.431421813333333,0.04933333333333333,0.04933333333333333,0.0,13.784614119999999,28.089599253333333,124.97133212
Uttar Pradesh,Paddy,2012-05-05,383.7,1050.52,53.475,2011 - 2012,5922643.0,13962896.0,2.36,1080,104.2,113.180000305176,36.62725337333333,22.963919920000002,30.186725773333333,37.1350576,21.875393373333335,29.172675679999998,0.2760000072,0.2760000072,0.0,19.173887493333336,36.979199253333334,101.57151689333332
Uttar Pradesh,Paddy,2012-05-06,291.0,1073.81,53.475,2011 - 2012,5922643.0,13962896.0,2.36,1080,104.2,113.180000305176,37.79058672,22.9492534,30.790919426666665,39.349053239999996,22.2938962,30.664369213333334,0.004000000000000001,0.004000000000000001,0.0,11.515644993333334,26.803199306666667,89.81042890498885
Uttar Pradesh,Paddy,2012-05-07,2485.0,1049.29,52.845,2011 - 2012,5922643.0,13962896.0,2.36,1080,104.2,113.160003662109,39.18525326666666,23.431253346666665,32.285752826666666,40.527722946666664,23.424336053333334,32.30743316,0.004000000000000001,0.004000000000000001,0.0,13.9522265,26.822399226666665,201.06166946666667
Uttar Pradesh,Paddy,2012-05-08,2217.1,1051.79,53.125,2011 - 2012,5922643.0,13962896.0,2.36,1080,104.2,112.730003356934,39.76791981333333,25.215920093333335,33.108114146666665,40.4822248,24.998831720000002,32.86309101333334,0.024,0.024,0.0,14.905656893333335,30.364799306666665,262.80645247333337
Uttar Pradesh,Paddy,2012-05-09,2177.2,1052.95,53.755,2011 - 2012,5922643.0,13962896.0,2.36,1080,104.2,113.199996948242,40.32258658666667,25.538586706666663,33.279142146666665,41.57623425333333,25.555963973333334,33.428757706666666,0.0013333333333333335,0.0013333333333333335,0.0,13.812445706666667,28.478399186666664,226.47932835066666
Uttar Pradesh,Paddy,2012-05-10,2679.7,1054.65,53.26,2011 - 2012,5922643.0,13962896.0,2.36,1080,104.2,112.730003356934,40.371920053333334,25.739253306666665,33.50180828,42.495792200000004,26.056368173333333,33.96830193333333,0.052,0.052,0.0,15.233275046666668,28.569599346666667,176.00640844
Uttar Pradesh,Paddy,2012-05-11,1543.2,1047.68,53.635,2011 - 2012,5922643.0,13962896.0,2.36,1080,104.2,112.26000213623,39.05525324,26.167920119999998,32.80264217333333,41.731787813333334,27.44773414666667,34.05752025333333,0.197333334,0.197333334,0.0,14.335019086666668,29.36159924,246.28765123866668
Uttar Pradesh,Paddy,2012-05-12,1773.0,1046.74,53.635,2011 - 2012,5922643.0,13962896.0,2.36,1080,104.2,112.26000213623,39.17458649333334,25.969919986666667,33.029586773333335,41.315882,27.061384333333333,33.79784170666667,0.04,0.04,0.0,15.331924073333333,29.486399746666667,297.8853266666667
Uttar Pradesh,Paddy,2012-05-13,180.0,1048.11,53.635,2011 - 2012,5922643.0,13962896.0,2.36,1080,104.2,112.26000213623,39.22125333333334,26.251920053333333,32.9831982,39.68238461333333,25.623901533333335,32.481904066666665,0.006666666666666667,0.006666666666666667,0.0,19.74332134666667,38.927999013333334,293.85179786666663
